Transaction_date;Product;Price;Payment_Type;Name;City;State;Country;Account_Created;Last_Login;Latitude;Longitude
01/02/2009 06:17;Product1;1200;Mastercard;carolina;Basildon;England;United Kingdom;01/02/2009 06:00;01/02/2009 06:08;51.5;-11.166.667
01/02/2009 04:53;Product1;1200;Visa;Betina;Parkville                   ;MO;United States;01/02/2009 04:42;01/02/2009 07:49;39.195;-9.468.194
01/02/2009 13:08;Product1;1200;Mastercard;Federica e Andrea;Astoria                     ;OR;United States;01/01/2009 16:21;01/03/2009 12:32;4.618.806;#FIELD!
01/03/2009 14:44;Product1;1200;Visa;Gouya;Echuca;Victoria;Australia;9/25/05 21:13;01/03/2009 14:22;-361.333.333;144.75
01/04/2009 12:56;Product2;3600;Visa;Gerd W ;Cahaba Heights              ;AL;United States;11/15/08 15:47;01/04/2009 12:45;3.352.056;-868.025
01/04/2009 13:19;Product1;1200;Visa;LAURENCE;Mickleton                   ;NJ;United States;9/24/08 15:19;01/04/2009 13:04;39.79;-7.523.806
01/04/2009 20:11;Product1;1200;Mastercard;Fleur;Peoria                      ;IL;United States;01/03/2009 09:38;01/04/2009 19:45;4.069.361;-8.958.889
01/02/2009 20:09;Product1;1200;Mastercard;adam;Martin                      ;TN;United States;01/02/2009 17:43;01/04/2009 20:01;3.634.333;-8.885.028
01/04/2009 13:17;Product1;1200;Mastercard;Renee Elisabeth;Tel Aviv;Tel Aviv;Israel;01/04/2009 13:03;01/04/2009 22:10;320.666.667;347.666.667
01/04/2009 14:11;Product1;1200;Visa;Aidan;Chatou;Ile-de-France;France;06/03/2008 04:22;01/05/2009 01:17;488.833.333;2.15
01/05/2009 02:42;Product1;1200;Diners;Stacy;New York                    ;NY;United States;01/05/2009 02:23;01/05/2009 04:59;4.071.417;-7.400.639
01/05/2009 05:39;Product1;1200;Amex;Heidi;Eindhoven;Noord-Brabant;Netherlands;01/05/2009 04:55;01/05/2009 08:15;51.45;54.666.667
01/02/2009 09:16;Product1;1200;Mastercard;Sean ;Shavano Park                ;TX;United States;01/02/2009 08:32;01/05/2009 09:05;2.942.389;-9.849.333
01/05/2009 10:08;Product1;1200;Visa;Georgia;Eagle                       ;ID;United States;11/11/2008 15:53;01/05/2009 10:05;4.369.556;-11.635.306
01/02/2009 14:18;Product1;1200;Visa;Richard;Riverside                   ;NJ;United States;12/09/2008 12:07;01/05/2009 11:01;4.003.222;-7.495.778
01/04/2009 01:05;Product1;1200;Diners;Leanne;Julianstown;Meath;Ireland;01/04/2009 00:00;01/05/2009 13:36;536.772.222;-63.191.667
01/05/2009 11:37;Product1;1200;Visa;Janet;Ottawa;Ontario;Canada;01/05/2009 09:35;01/05/2009 19:24;454.166.667;#FIELD!
01/06/2009 05:02;Product1;1200;Diners;barbara;Hyderabad;Andhra Pradesh;India;01/06/2009 02:41;01/06/2009 07:52;173.833.333;784.666.667
01/06/2009 07:45;Product2;3600;Visa;Sabine;London;England;United Kingdom;01/06/2009 07:00;01/06/2009 09:17;5.152.721;0.14559
01/02/2009 07:35;Product1;1200;Diners;Hani;Salt Lake City              ;UT;United States;12/30/08 5:44;01/06/2009 10:52;4.076.083;-11.189.028
01/06/2009 12:56;Product1;1200;Visa;Jeremy;Manchester;England;United Kingdom;01/06/2009 10:58;01/06/2009 13:31;53.5;-22.166.667
01/01/2009 11:05;Product1;1200;Diners;Janis;Ballynora;Cork;Ireland;12/10/2007 12:37;01/07/2009 01:52;518.630.556;#FIELD!
01/05/2009 04:10;Product1;1200;Mastercard;Nicola;Roodepoort;Gauteng;South Africa;01/05/2009 02:33;01/07/2009 05:13;-261.666.667;278.666.667
01/06/2009 07:18;Product1;1200;Visa;asuman;Chula Vista                 ;CA;United States;01/06/2009 07:07;01/07/2009 07:08;32.64;-11.708.333
01/02/2009 01:11;Product1;1200;Mastercard;Lena;Kuopio;Ita-Suomen Laani;Finland;12/31/08 2:48;01/07/2009 10:20;62.9;276.833.333
01/01/2009 02:24;Product1;1200;Visa;Lisa;Sugar Land                  ;TX;United States;01/01/2009 01:56;01/07/2009 10:52;2.961.944;-9.563.472
01/07/2009 08:08;Product1;1200;Diners;Bryan Kerrene;New York                    ;NY;United States;01/07/2009 07:39;01/07/2009 12:38;4.071.417;-7.400.639
01/02/2009 02:57;Product1;1200;Visa;chris;London;England;United Kingdom;01/03/2008 07:23;01/07/2009 13:14;5.152.721;0.14559
01/01/2009 20:21;Product1;1200;Visa;Maxine;Morton                      ;IL;United States;10/24/08 6:48;01/07/2009 20:49;4.061.278;-8.945.917
01/08/2009 00:42;Product1;1200;Visa;Family;Los Gatos                   ;CA;United States;01/08/2009 00:28;01/08/2009 03:39;3.722.667;-12.197.361
01/08/2009 03:56;Product1;1200;Mastercard;Katherine;New York                    ;NY;United States;01/08/2009 03:33;01/08/2009 06:19;4.071.417;-7.400.639
01/08/2009 03:16;Product1;1200;Mastercard;Linda;Miami                       ;FL;United States;01/08/2009 03:06;01/08/2009 06:34;2.577.389;-8.019.389
01/08/2009 01:59;Product1;1200;Mastercard;SYLVIA;Vesenaz;Geneve;Switzerland;11/28/07 11:56;01/08/2009 07:20;462.333.333;6.2
01/03/2009 09:03;Product1;1200;Diners;Sheila;Brooklyn                    ;NY;United States;01/03/2009 08:47;01/08/2009 10:38;40.65;#FIELD!
01/05/2009 13:17;Product1;1200;Mastercard;Stephanie;Badhoevedorp;Noord-Holland;Netherlands;01/05/2009 12:45;01/08/2009 11:45;523.333.333;47.833.333
01/06/2009 07:46;Product1;1200;Amex;Kelly;Reston                      ;VA;United States;01/06/2009 07:30;01/08/2009 12:40;3.896.861;-7.734.139
01/05/2009 20:00;Product2;3600;Visa;James;Burpengary;Queensland;Australia;12/10/2008 19:53;01/08/2009 17:58;-271.666.667;152.95
01/08/2009 16:24;Product1;1200;Visa;jennifer;Phoenix                     ;AZ;United States;01/08/2009 15:57;01/08/2009 18:30;3.344.833;-11.207.333
01/09/2009 06:39;Product1;1200;Mastercard;Anneli;Houston                     ;TX;United States;01/09/2009 05:09;01/09/2009 07:11;2.976.306;-9.536.306
01/06/2009 22:19;Product2;3600;Amex;Ritz;Pittsfield                  ;VT;United States;01/06/2009 12:00;01/09/2009 10:05;4.377.222;-7.281.333
01/06/2009 23:00;Product2;3600;Amex;Sylvia;Pittsfield                  ;VT;United States;01/06/2009 12:00;01/09/2009 10:05;4.377.222;-7.281.333
01/07/2009 07:44;Product1;1200;Mastercard;Marie;Ball Ground                 ;GA;United States;01/07/2009 05:35;01/09/2009 10:52;3.433.806;-8.437.667
01/03/2009 13:24;Product1;1200;Visa;Mehmet Fatih;Helsingor;Frederiksborg;Denmark;01/03/2009 12:47;01/09/2009 11:14;560.333.333;126.166.667
01/07/2009 15:12;Product2;3600;Visa;Anabela;Flossmoor                   ;IL;United States;01/05/2009 19:55;01/09/2009 16:03;4.154.278;-8.768.472
